group_num,arabic_num,dots_num,pshare_conf1,c1_agreement,participant_sharing,c1,conf1,c2,conf2,correct_resp,c1_acc,c2_acc,conf_update,source_info,update,p_num,group_affiliation,resentie_v,resentie_r,attach_r,attach_v,identif_v,identif_r,favoritism_score,percent_agree_pshare,accuracy_over_time,percent_pshare_accuracy,percent_agree_pshare_accurate,scaled_update,trial_number,actual_p_num,local_percent_pshare_accuracy,local_percent_agree_pshare,local_accuracy_over_time,local_percent_agree_pshare_accurate,prefered_group
8,67.0,63.0,30,disagree,3,1,50,1,30,0,0,0,-20,outgroup,0,1,green,70,50,0,0,30,0,50,0.4762,0.5672,0.5714,0.381,-0.4,66,1,0.5556,0.4444,0.2222,0.4444,1
8,74.0,68.0,20,agree,2,1,20,1,20,0,0,0,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4444,0.5588,0.4444,0.2778,0.0,67,1,0.3333,0.2222,0.2222,0.1111,1
8,58.0,60.0,20,disagree,3,1,50,1,30,1,1,1,-20,outgroup,0,1,green,70,50,0,0,30,0,50,0.4545,0.5493,0.5455,0.3636,-0.4,70,1,0.5556,0.3333,0.0,0.3333,1
8,58.0,57.0,20,disagree,4,1,5,0,10,0,0,1,5,outgroup,1,1,green,70,50,0,0,30,0,50,0.5833,0.5556,0.6667,0.3333,0.05263157894736842,71,1,0.5556,0.6667,0.1111,0.3333,1
8,60.0,58.0,60,disagree,2,0,5,0,2,0,1,1,-3,ingroup,0,1,green,70,50,0,0,30,0,50,0.4211,0.5616,0.4211,0.2632,-0.6,72,1,0.3333,0.3333,0.2222,0.1111,1
8,55.0,60.0,30,agree,4,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6154,0.5676,0.6923,0.3846,0.0,73,1,0.6667,0.5556,0.3333,0.3333,1
8,59.0,60.0,10,agree,4,1,10,1,10,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6429,0.5733,0.7143,0.4286,0.0,74,1,0.7778,0.6667,0.4444,0.4444,1
8,69.0,67.0,20,agree,4,1,10,1,20,0,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5658,0.6667,0.4,0.1111111111111111,75,1,0.7778,0.6667,0.5556,0.4444,1
8,52.0,50.0,50,disagree,2,1,10,0,20,0,0,1,10,ingroup,1,1,green,70,50,0,0,30,0,50,0.4,0.5714,0.45,0.25,0.1111111111111111,76,1,0.3333,0.3333,0.5556,0.1111,1
8,57.0,58.0,10,disagree,4,1,50,1,40,1,1,1,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.625,0.5769,0.625,0.375,-0.2,77,1,0.6667,0.6667,0.6667,0.3333,1
8,56.0,62.0,30,agree,4,0,10,0,20,1,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.6471,0.5625,0.5882,0.3529,0.1111111111111111,79,1,0.6667,0.5556,0.7778,0.3333,1
8,56.0,60.0,10,agree,2,1,80,1,80,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4286,0.5679,0.4762,0.2857,0.0,80,1,0.3333,0.3333,0.6667,0.1111,1
8,56.0,60.0,20,disagree,3,1,50,1,40,1,1,1,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.4348,0.5732,0.5217,0.3478,-0.2,81,1,0.5556,0.3333,0.6667,0.3333,1
8,54.0,57.0,10,disagree,3,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4167,0.5783,0.5,0.3333,0.0,82,1,0.5556,0.3333,0.6667,0.3333,1
8,50.0,56.0,10,agree,4,1,30,1,30,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5833,0.6111,0.3889,0.0,83,1,0.5556,0.5556,0.6667,0.2222,1
8,52.0,59.0,10,agree,4,1,60,1,60,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6842,0.5747,0.6316,0.4211,0.0,86,1,0.5556,0.6667,0.5556,0.3333,1
8,68.0,67.0,10,disagree,4,1,10,1,5,0,0,0,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.65,0.5682,0.65,0.4,-0.5,87,1,0.6667,0.6667,0.5556,0.4444,1
8,66.0,65.0,20,agree,4,1,20,1,20,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5618,0.619,0.381,0.0,88,1,0.6667,0.6667,0.5556,0.4444,1
8,60.0,63.0,20,agree,4,0,5,0,10,1,0,0,5,outgroup,0,1,green,70,50,0,0,30,0,50,0.6818,0.5556,0.5909,0.3636,0.05263157894736842,89,1,0.5556,0.7778,0.5556,0.4444,1
8,67.0,68.0,20,agree,3,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.44,0.5604,0.52,0.36,0.0,90,1,0.4444,0.3333,0.4444,0.3333,1
8,66.0,64.0,30,disagree,3,1,50,1,40,0,0,0,-10,outgroup,0,1,green,70,50,0,0,30,0,50,0.4231,0.5543,0.5385,0.3462,-0.2,91,1,0.5556,0.4444,0.4444,0.4444,1
8,64.0,62.0,20,agree,4,1,10,1,20,0,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.6957,0.5426,0.5652,0.3478,0.1111111111111111,93,1,0.4444,0.7778,0.2222,0.3333,1
8,74.0,76.0,20,disagree,3,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4074,0.5474,0.5185,0.3333,0.0,94,1,0.5556,0.3333,0.2222,0.3333,1
8,78.0,72.0,10,disagree,4,1,10,1,5,0,0,0,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.6667,0.5556,0.5833,0.3333,-0.5,98,1,0.3333,0.7778,0.5556,0.2222,1
8,47.0,52.0,20,agree,4,0,10,0,10,1,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.68,0.55,0.56,0.32,0.0,99,1,0.4444,0.6667,0.5556,0.2222,1
8,50.0,55.0,10,agree,2,1,10,1,10,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4545,0.5545,0.5,0.3182,0.0,100,1,0.4444,0.4444,0.4444,0.2222,1
8,63.0,68.0,15,agree,2,1,20,1,20,1,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4783,0.5588,0.5217,0.3478,0.0,101,1,0.5556,0.5556,0.5556,0.3333,1
8,70.0,68.0,20,disagree,2,1,30,1,10,0,0,0,-20,ingroup,0,1,green,70,50,0,0,30,0,50,0.4583,0.5534,0.5417,0.3333,-0.6666666666666666,102,1,0.6667,0.6667,0.6667,0.4444,1
8,59.0,62.0,10,agree,4,1,10,1,10,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.6923,0.5577,0.5769,0.3462,0.0,103,1,0.4444,0.7778,0.6667,0.2222,1
8,54.0,52.0,10,agree,3,0,30,0,30,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4286,0.5701,0.5357,0.3571,0.0,106,1,0.4444,0.2222,0.6667,0.2222,1
8,54.0,52.0,5,agree,4,0,30,0,30,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7037,0.5741,0.5926,0.3704,0.0,107,1,0.5556,0.7778,0.6667,0.3333,1
8,46.0,50.0,30,disagree,3,0,5,0,5,1,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4138,0.5688,0.5517,0.3448,0.0,108,1,0.4444,0.2222,0.7778,0.2222,1
8,57.0,56.0,20,agree,4,1,10,1,20,0,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.7143,0.5636,0.5714,0.3571,0.1111111111111111,109,1,0.5556,0.7778,0.7778,0.3333,1
8,58.0,57.0,50,agree,2,0,60,0,60,0,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.48,0.5676,0.56,0.36,0.0,110,1,0.6667,0.6667,0.6667,0.4444,1
8,49.0,54.0,10,agree,4,1,5,1,5,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7241,0.5714,0.5862,0.3793,0.0,111,1,0.4444,0.7778,0.6667,0.2222,1
8,67.0,63.0,30,agree,2,1,10,1,20,0,0,0,10,ingroup,0,1,green,70,50,0,0,30,0,50,0.5,0.5664,0.5385,0.3462,0.1111111111111111,112,1,0.6667,0.6667,0.7778,0.4444,1
8,54.0,51.0,10,agree,4,0,10,0,10,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7333,0.5702,0.6,0.4,0.0,113,1,0.4444,0.8889,0.6667,0.3333,1
8,59.0,58.0,20,agree,3,1,10,1,20,0,0,0,10,outgroup,0,1,green,70,50,0,0,30,0,50,0.4333,0.569,0.5333,0.3333,0.1111111111111111,115,1,0.5556,0.2222,0.6667,0.2222,1
8,67.0,60.0,20,agree,4,0,50,0,50,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7419,0.5726,0.6129,0.4194,0.0,116,1,0.5556,0.8889,0.5556,0.4444,1
8,64.0,62.0,3,disagree,3,1,5,1,5,0,0,0,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.4194,0.5678,0.5484,0.3226,0.0,117,1,0.4444,0.3333,0.5556,0.2222,1
8,64.0,62.0,50,disagree,2,1,10,0,10,0,0,1,0,ingroup,1,1,green,70,50,0,0,30,0,50,0.4815,0.5714,0.5556,0.3333,0.0,118,1,0.6667,0.6667,0.5556,0.4444,1
8,47.0,44.0,100,disagree,2,1,30,1,70,0,0,0,40,ingroup,0,1,green,70,50,0,0,30,0,50,0.4643,0.5667,0.5714,0.3214,0.5714285714285714,119,1,0.7778,0.5556,0.6667,0.4444,1
8,65.0,64.0,20,agree,2,1,30,1,30,0,0,0,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4828,0.562,0.5517,0.3103,0.0,120,1,0.8889,0.5556,0.5556,0.4444,1
8,44.0,46.0,15,disagree,2,0,70,0,50,1,0,0,-20,ingroup,0,1,green,70,50,0,0,30,0,50,0.4667,0.5645,0.5667,0.3,-0.2857142857142857,123,1,0.7778,0.6667,0.5556,0.4444,1
8,63.0,67.0,10,disagree,4,1,50,1,50,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7188,0.568,0.5938,0.4062,0.0,124,1,0.6667,0.8889,0.4444,0.5556,1
8,53.0,59.0,10,agree,4,1,5,1,5,1,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.7273,0.5714,0.6061,0.4242,0.0,125,1,0.6667,0.7778,0.5556,0.5556,1
8,50.0,52.0,50,disagree,2,0,5,0,2,1,0,0,-3,ingroup,0,1,green,70,50,0,0,30,0,50,0.4516,0.5669,0.5806,0.2903,-0.6,126,1,0.7778,0.5556,0.5556,0.3333,1
8,54.0,50.0,5,agree,2,0,10,0,10,0,1,1,0,ingroup,0,1,green,70,50,0,0,30,0,50,0.4688,0.5703,0.5938,0.3125,0.0,127,1,0.7778,0.4444,0.5556,0.2222,1
8,53.0,55.0,10,disagree,3,1,10,1,5,1,1,1,-5,outgroup,0,1,green,70,50,0,0,30,0,50,0.4062,0.5736,0.5312,0.3125,-0.5,128,1,0.5556,0.3333,0.5556,0.2222,1
8,63.0,62.0,20,disagree,3,0,10,0,10,0,1,1,0,outgroup,0,1,green,70,50,0,0,30,0,50,0.3939,0.5769,0.5152,0.303,0.0,129,1,0.5556,0.3333,0.6667,0.2222,1
8,55.0,53.0,70,disagree,2,1,30,0,30,0,0,1,0,ingroup,1,1,green,70,50,0,0,30,0,50,0.4545,0.5833,0.6061,0.303,0.0,131,1,0.7778,0.4444,0.7778,0.2222,1
8,58.0,56.0,10,agree,1,1,40,1,40,0,0,0,0,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,0.0,1
8,42.0,47.0,10,disagree,4,0,10,0,10,1,0,0,0,outgroup,0,2,green,60,50,10,40,40,5,75,0.0,0.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,0.0,1
8,71.0,67.0,5,agree,1,1,22,1,15,0,0,0,-7,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.0,0.0,0.0,-0.3181818181818182,2,2,0.0,1.0,0.0,0.0,1
8,67.0,63.0,50,agree,1,1,20,1,40,0,0,0,20,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.0,0.0,0.0,0.25,3,2,0.0,1.0,0.0,0.0,1
8,56.0,52.0,5,agree,1,0,20,0,25,0,1,1,5,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.2,0.25,0.25,0.0625,4,2,0.25,1.0,0.2,0.25,1
8,56.0,52.0,30,agree,4,0,60,0,60,0,1,1,0,outgroup,0,2,green,60,50,10,40,40,5,75,0.5,0.3333,1.0,0.5,0.0,5,2,1.0,0.5,0.3333,0.5,1
8,57.0,58.0,30,agree,1,1,10,1,20,1,1,1,10,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.4286,0.4,0.4,0.1111111111111111,6,2,0.4,1.0,0.4286,0.4,1
8,52.0,50.0,40,agree,3,0,5,0,5,0,1,1,0,outgroup,0,2,green,60,50,10,40,40,5,75,1.0,0.6,1.0,1.0,0.0,9,2,1.0,1.0,0.6,1.0,1
8,69.0,64.0,10,agree,3,1,5,1,5,0,0,0,0,outgroup,0,2,green,60,50,10,40,40,5,75,1.0,0.5833,0.5,0.5,0.0,11,2,0.5,1.0,0.7778,0.5,1
